Region,Country,Year,Income,BirthRate,Population
Asia,Macao SAR,2012,77196.138790157,0.01,556783
Asia,Bhutan,2012,2508.900461297,0.02,741822
Asia,Timor-Leste,2012,1179.329444592,0.036,1148958
Asia,Mongolia,2012,3691.052262412,0.023,2796484
Asia,Armenia,2012,3353.973125017,0.014,2969081
Asia,Georgia,2012,3528.733735943,0.014,4490700
Asia,Turkmenistan,2012,6797.734306914,0.022,5172931
Asia,Singapore,2012,54024.546344402,0.01,5312400
Asia,Kyrgyzstan,2012,1177.973596626,0.028,5607200
Asia,Laos,2012,1412.452243039,0.027,6645827
Asia,Hong Kong SAR,2012,36759.567271406,0.013,7154600
Asia,Tajikistan,2012,953.060222575,0.033,8008990
Asia,Azerbaijan,2012,7393.771877014,0.019,9295784
Asia,Cambodia,2012,945.494646358,0.026,14864646
Asia,Kazakhstan,2012,12149.058224659,0.023,16791425
Asia,Sri Lanka,2012,2921.736345238,0.018,20328000
Asia,Nepal,2012,699.080482116,0.022,27474377
Asia,Malaysia,2012,10430.942594351,0.018,29239927
Asia,Uzbekistan,2012,1719.036196242,0.021,29774500
Asia,Afghanistan,2012,687.581367703,0.035,29824536
Asia,South Korea,2012,24397.832984474,0.01,50004441
Asia,Thailand,2012,5480.272434225,0.01,66785001
Asia,Vietnam,2012,1757.293047766,0.016,88772900
Asia,Philippines,2012,2585.134582727,0.025,96706764
Asia,Japan,2012,46565.778171498,0.008,127561489
Asia,Bangladesh,2012,749.860849098,0.02,154695368
Asia,Pakistan,2012,1255.859905110,0.026,179160111
Asia,Indonesia,2012,3552.560606086,0.019,246864191
Asia,India,2012,1504.018723474,0.021,1236686732
Asia,China,2012,6093.159447544,0.012,1350695000
Europe,Iceland,2012,42362.130548523,0.014,320716
Europe,Malta,2012,21129.982770500,0.01,419455
Europe,Luxembourg,2012,103858.880808971,0.011,530946
Europe,Montenegro,2012,6514.148642448,0.012,621081
Europe,Cyprus,2012,20165.663378193,0.012,1128994
Europe,Estonia,2012,16887.375320751,0.011,1325016
Europe,Kosovo,2012,3566.730911192,0.018,1807106
Europe,Latvia,2012,13946.965887356,0.01,2034319
Europe,Slovenia,2012,22059.147789743,0.011,2057159
Europe,North Macedonia,2012,4548.155552759,0.011,2105575
Europe,Albania,2012,4406.116378346,0.013,2801681
Europe,Lithuania,2012,14172.281226184,0.01,2987773
Europe,Moldova,2012,2046.536786571,0.012,3559519
Europe,Bosnia and Herzegovina,2012,4395.828894791,0.009,3833916
Europe,Croatia,2012,13158.750966478,0.01,4267558
Europe,Ireland,2012,46000.596917698,0.016,4586897
Europe,Norway,2012,99629.914718786,0.012,5018573
Europe,Slovakia,2012,16892.551977142,0.01,5407579
Europe,Finland,2012,45622.704665393,0.011,5413971
Europe,Denmark,2012,56334.783849694,0.01,5591572
Europe,Serbia,2012,5293.836637530,0.009,7199077
Europe,Bulgaria,2012,7022.234589142,0.01,7305888
Europe,Switzerland,2012,78905.96072634,0.01,7996861
Europe,Austria,2012,46737.890941995,0.009,8429991
Europe,Belarus,2012,6721.834907756,0.012,9464000
Europe,Sweden,2012,55045.636404243,0.012,9519374
Europe,Hungary,2012,12600.346640576,0.009,9920362
Europe,Czech Republic,2012,18647.513006878,0.01,10510785
Europe,Portugal,2012,20161.972921329,0.009,10514844
Europe,Greece,2012,22356.902526880,0.009,11092771
Europe,Belgium,2012,43403.066395189,0.011,11128246
Europe,Netherlands,2012,45956.535144634,0.011,16754962
Europe,Romania,2012,8417.706730783,0.01,20076727
Europe,Poland,2012,12715.424923681,0.01,38535873
Europe,Ukraine,2012,3882.149350891,0.011,45593300
Europe,Spain,2012,28228.492711403,0.01,46761264
Europe,Italy,2012,33758.978061653,0.009,59539717
Europe,United Kingdom,2012,38621.139293152,0.013,63695687
Europe,France,2012,39740.085830668,0.013,65676758
Europe,Turkey,2012,10662.575985381,0.017,73997128
Europe,Germany,2012,42647.993791745,0.008,80425823
Europe,Russia,2012,14108.312729609,0.013,143178000
Middle East,Bahrain,2012,23039.684221829,0.016,1317827
Middle East,Qatar,2012,92659.694105966,0.011,2050514
Middle East,Kuwait,2012,56299.100198862,0.021,3250496
Middle East,Oman,2012,23623.851492803,0.021,3314001
Middle East,Lebanon,2012,9764.110606641,0.013,4424888
Middle East,Jordan,2012,4909.028093701,0.028,6318000
Middle East,Israel,2012,32614.878958347,0.022,7910500
Middle East,United Arab Emirates,2012,41713.508365677,0.015,9205651
Middle East,Yemen,2012,1341.281767515,0.031,23852409
Middle East,Saudi Arabia,2012,25947.531193157,0.02,28287855
Middle East,Iraq,2012,6630.198731919,0.031,32578209
Middle East,Iran,2012,6581.663931787,0.019,76424443
Oceania,Kiribati,2012,1736.198172365,0.023,100786
Oceania,Micronesia, Fed. Sts.,2012,3154.513864307,0.024,103395
Oceania,Tonga,2012,4493.720252332,0.026,104941
Oceania,Samoa,2012,3622.621047282,0.027,188889
Oceania,Vanuatu,2012,3182.609276800,0.027,247262
Oceania,Solomon Islands,2012,1819.461535522,0.031,549598
Oceania,Fiji,2012,4613.269939022,0.021,874742
Oceania,New Zealand,2012,38574.328896910,0.014,4433000
Oceania,Papua New Guinea,2012,2184.163461053,0.029,7167010
